landing_page,visits,purchases,sales
https://shop.googlemerchandisestore.com/google+redesign/new,74,0,0.0
https://shop.googlemerchandisestore.com/google+redesign/apparel/hats,73,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Campus+Collection/Google+Mountain+View+Campus+Mug,72,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Incognito+Messenger+Bag,72,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Google+Land+and+Sea+French+Terry+Sweatshirt,71,3,224.0
https://shop.googlemerchandisestore.com/clearance/clearance-accessories/,71,0,0.0
https://shop.googlemerchandisestore.com//Google+Redesign/Office/Writing/Maze+Pen.axd,70,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Google+Canteen+Bottle+Black,69,3,827.0
https://shop.googlemerchandisestore.com/Google+Redesign/Electronics/Audio,69,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Mens+Softshell+Moss,69,5,360.0
http://shop.googlemerchandisestore.com/google+redesign/shop+by+brand/youtube,68,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/YouTube+Play+Mug,67,1,13.0
https://shop.googlemerchandisestore.com/Google+Redesign/Electronics,67,1,156.0
https://shop.googlemerchandisestore.com/google+redesign/lifestyle/bags,66,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/I+am+Remarkable,65,1,110.0
https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Google+Cup+Cap+Tumbler+Grey,65,1,77.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Black+Cloud+Zip+Hoodie,64,1,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Google+Premium+Sunglasses,64,1,23.0
https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Incognito+Techpack+V2,64,2,70.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+FC+Longsleeve+Ash,61,3,262.0
https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Google+Woodtop+Bottle+Black,59,4,214.0
https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Packable+Bag+Black,58,2,95.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Land+and+Sea+Cotton+Cap+LS,58,2,38.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Crew+Grey,58,1,108.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/YouTube+Icon+Tee+Charcoal,56,2,22.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Mouse+Pad+Navy,55,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Android+Pocket+Tee+Navy,54,2,211.0
https://shop.googlemerchandisestore.com/google+redesign/lifestyle/drinkware,51,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Office/Google+Google+Color+Block+Notebook,51,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Campus+Collection/Google+Mountain+View+Campus+Zip+Hoodie,51,1,23.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Sherpa+Vest+Black,50,1,199.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Womens+Softshell+Moss,50,3,237.0
https://shop.googlemerchandisestore.com/Google+Redesign/Small+Goods/Mommy+Works+at+Google+Book,49,4,76.0
https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Youtube+25oz+gear+cap+bottle+black,49,1,16.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Laptop+Sleeve+Charcoal,49,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Google+Cork+Base+Tumbler,49,1,48.0
https://shop.googlemerchandisestore.com/store-policies/frequently-asked-questions/home,49,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Infant+Charcoal+Onesie,49,3,122.0
https://shop.googlemerchandisestore.com/BLM,48,1,46.0
https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Supernatural+Paper+Backpack,46,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Google+Mural+Bottle,46,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Inverted+Umbrella,46,1,39.0
https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Android+Buoy+Bottle,46,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Speckled+Beanie+Grey,45,2,146.0
https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Google+Thermal+Tumbler+Navy,45,2,97.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Sherpa+Zip+Hoodie+Navy,45,2,117.0
https://shop.googlemerchandisestore.com/register.html,45,1,101.0
https://shop.googlemerchandisestore.com/Google+Redesign/Small+Goods/Daddy+Works+at+Google+Book,43,1,170.0
https://shop.googlemerchandisestore.com/Google+Redesign/Office/Stickers/Google+Laptop+and+Cell+Phone+Stickers.axd,43,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Cork+Tablet+Case,43,2,103.0
https://shop.googlemerchandisestore.com/Google+RMG+Redesign/Lifestyle/Mural+Food+Container,42,2,91.0
https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Bike+Mini+Backpack,41,1,69.0
https://shop.googlemerchandisestore.com/storeitem.html,41,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Brands/YouTube/,41,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Google+Knit+Blanket,40,7,367.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Bot,40,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Google+Blue+Stojo+Cup,39,1,185.0
https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Incognito+Dopp+Kit+V2,39,1,154.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Cloth+Pouch+Black,39,1,8.0
https://shop.googlemerchandisestore.com/Google+Redesign/Google+Land+and+Sea+Mug,38,2,175.0
https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Google+Perk+Thermal+Cup,38,2,208.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Campus+Bike+Eco+Tee+Navy,38,1,646.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+See+no+hear+no+set,37,1,114.0
https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Android+Iconic+Mug+Gray,37,2,42.0
https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Supernatural+Paper+Tote,36,1,150.0
https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Google+Mesh+Bag+Blue,36,0,0.0
https://shop.googlemerchandisestore.com/google+redesign/nest/nest-usa,36,0,0.0
https://shop.googlemerchandisestore.com/gpsmap,36,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/YouTube+Transmission+Journal+Red,36,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Stationery/Google+4in+Decal,36,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Medium+Pet+Collar+Blue+Green,36,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Office/Google+Clear+Pen+4pack,35,4,827.0
https://shop.googlemerchandisestore.com/Google+Redesign/Nest/Nest-usa,35,0,0.0
https://shop.googlemerchandisestore.com/google+redesign/apparel/google+cotopaxi+shell,35,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Mural+Socks,35,1,31.0
https://shop.googlemerchandisestore.com/google+redesign/bags/google+utility+backpack,34,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Google+Summer19+Crew+Grey,34,2,122.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Google+Crew+Striped+Athletic+Sock,34,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Fun/Google+Kick+Ball.axd,33,1,85.0
https://shop.googlemerchandisestore.com/Google Redesign/Office,33,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/YouTube+Leather+Strap+Hat+Black,33,1,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Fun,33,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Womens+Microfleece+Jacket+Black,33,2,166.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Android+Iconic+Hat+V2+Black,33,3,174.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/YouTube+Icon+Tee+Grey,33,3,179.0
https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Google+Super+G+Tumbler+Red+Lid,32,2,22.0
https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Google+Bike+Bottle,32,1,40.0
https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Android+Iconic+Backpack,31,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Tee+Blue,31,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Tech+Taco,30,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Bags/Supernatural+Paper+Lunch+Sack,30,0,0.0
https://shop.googlemerchandisestore.com/shop.axd/cart,30,0,0.0
https://shop.googlemerchandisestore.com/Google+Yellowesign/Apparel/Google+Tee+Yellow,30,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Womens+Google+Striped+LS,29,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Leather+Strap+Hat+Blue,29,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Womens+Tech+Fleece+Grey,29,1,356.0
https://shop.googlemerchandisestore.com/Google+Redesign/Accessories/Google+Emoji+Magnet+Set,28,1,10.0
http://shop.googlemerchandisestore.com/,28,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Stan+and+Friends+Tee+Green,28,2,173.0
https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware,27,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Drinkware/Google+Mural+Mug,27,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/bags/more+bags,27,0,0.0
https://shop.googlemerchandisestore.com/Google+Redesign/Apparel/Android+Pocket+Onesie+Navy,27,1,44.0
https://shop.googlemerchandisestore.com/myaccount.html,27,3,150.0
https://shop.googlemerchandisestore.com/Google+Redesign/Office/Google+Sustainable+Pencil+Pouch,26,0,0.0
https://shop.googlemerchandisestore.com/platzi,26,0,0.0
